title,city,date,detailLink,,,,
Iphon 4 for kisi kism k masla ni ha factry unlocked,Lahore,12:27 AM,http://olx.com.pk/item/iphon-4-for-kisi-kism-k-masla-ni-ha-factry-unlocked-IDTLsS5.html#c3a1400887,,,,
iPhone 5 factory unlock 16 gb wid box,Karachi,12:27 AM,http://olx.com.pk/item/iphone-5-factory-unlock-16-gb-wid-box-IDTLsRJ.html#c3a1400887,,,,
Microsoft Lumia 532 box packed.,Karachi,12:26 AM,http://olx.com.pk/item/microsoft-lumia-532-box-packed-IDTKwql.html#c3a1400887,,,,
Nokia Lumia 535 Dual sim 5month warranty,Gujranwala,12:26 AM,http://olx.com.pk/item/nokia-lumia-535-dual-sim-5month-warranty-IDTKJSb.html#c3a1400887,,,,
Nokia 2700 classis,Karachi,12:25 AM,http://olx.com.pk/item/nokia-2700-classis-IDTLsQx.html#c3a1400887,,,,
Microsoft nokia lumia,Jhelum,12:25 AM,http://olx.com.pk/item/microsoft-nokia-lumia-IDTLsPW.html#c3a1400887,,,,
title,city,date,detailLink,,,,
New Lumia 540 Dual sIm With Full warranty,Lahore,12:24 AM,http://olx.com.pk/item/new-lumia-540-dual-sim-with-full-warranty-IDTLsQp.html#3c9effc274,,,,
Galaxy S5 Black,Faisalabad,12:24 AM,http://olx.com.pk/item/galaxy-s5-black-IDTLr3T.html#3c9effc274,,,,
Motorola Electrify 2,Karachi,12:23 AM,http://olx.com.pk/item/motorola-electrify-2-IDTLsPF.html#3c9effc274,,,,
My blackberry Q10,Attock,12:23 AM,http://olx.com.pk/item/my-blackberry-q10-IDTLsQJ.html#3c9effc274,,,,
3000 mah original battry,Faisalabad,12:23 AM,http://olx.com.pk/item/3000-mah-original-battry-IDTLsQH.html#3c9effc274,,,,
Lg f180 black 10/10,Islamabad,12:23 AM,http://olx.com.pk/item/lg-f180-black-10-10-IDTLsRj.html#3c9effc274,,,,
iPhone 5 factoryunlock 64gb,Lahore,12:23 AM,http://olx.com.pk/item/iphone-5-factoryunlock-64gb-IDTKBHZ.html#3c9effc274,,,,
I phone 4s sesled,Karachi,12:21 AM,http://olx.com.pk/item/i-phone-4s-sesled-IDTLsQW.html#3c9effc274,,,,
Oppo neo 3 r831k,Lahore,12:21 AM,http://olx.com.pk/item/oppo-neo-3-r831k-IDTLsOW.html#3c9effc274,,,,
lg g3 white color,Sialkot,12:21 AM,http://olx.com.pk/item/lg-g3-white-color-IDTLsQj.html#3c9effc274,,,,
Qmobile S5 8 month warranty,Sialkot,12:20 AM,http://olx.com.pk/item/qmobile-s5-8-month-warranty-IDTLsNX.html#3c9effc274,,,,
Exchange Available,Rawalpindi,12:20 AM,http://olx.com.pk/item/exchange-available-IDTLsR3.html#3c9effc274,,,,
Lg g2 saleee and exchange,Sialkot,12:20 AM,http://olx.com.pk/item/lg-g2-saleee-and-exchange-IDTLsNW.html#3c9effc274,,,,
Ipad: 4G 16 GB Black,Lahore,12:20 AM,http://olx.com.pk/item/ipad-4g-16-gb-black-IDTLsKf.html#3c9effc274,,,,
Samsung galaxy s3,Sialkot,12:20 AM,http://olx.com.pk/item/samsung-galaxy-s3-IDTLsQt.html#3c9effc274,,,,
Samsung galaxy j7,Sialkot,12:19 AM,http://olx.com.pk/item/samsung-galaxy-j7-IDTLsO1.html#3c9effc274,,,,
Samsung S4 SCH-I545,Karachi,12:19 AM,http://olx.com.pk/item/samsung-s4-sch-i545-IDTLsF5.html#3c9effc274,,,,
"Sumsung Glaxy S4 ,Condition 10/9",Karachi,12:19 AM,http://olx.com.pk/item/sumsung-glaxy-s4-condition-10-9-IDTLsMH.html#3c9effc274,,,,
samsung galaxy s4 verizon,Karachi,12:19 AM,http://olx.com.pk/item/samsung-galaxy-s4-verizon-IDTLsQ5.html#3c9effc274,,,,
Samsung Galaxy S4 I9500 32 gb,Sargodha,12:19 AM,http://olx.com.pk/item/samsung-galaxy-s4-i9500-32-gb-IDTLsPN.html#3c9effc274,,,,
Samsung Galaxy S5 10/10 argent sell,Islamabad,12:19 AM,http://olx.com.pk/item/samsung-galaxy-s5-10-10-argent-sell-IDTLsN9.html#3c9effc274,,,,
Original Samsung S4 Charger 2A UK,Lahore,12:19 AM,http://olx.com.pk/item/original-samsung-s4-charger-2a-uk-IDJDpy9.html#3c9effc274,,,,
grandprime exchang 3g 10/10,Peshawar,12:19 AM,http://olx.com.pk/item/grandprime-exchang-3g-10-10-IDTLsMl.html#3c9effc274,,,,
Samaung s4 5.0.1 updated,Karachi,12:19 AM,http://olx.com.pk/item/samaung-s4-5-0-1-updated-IDTLsP1.html#3c9effc274,,,,
Samsung Galaxy Note 2 korean 10/10 condition,Islamabad,12:19 AM,http://olx.com.pk/item/samsung-galaxy-note-2-korean-10-10-condition-IDTLsOD.html#3c9effc274,,,,
Voice V177 in good condition,Lahore,12:19 AM,http://olx.com.pk/item/voice-v177-in-good-condition-IDTLsN5.html#3c9effc274,,,,
Iphone 4 16gb fctry unlock brandnew just like new 100% sld ldy hnd usd,Karachi,12:19 AM,http://olx.com.pk/item/iphone-4-16gb-fctry-unlock-brandnew-just-like-new-100-sld-ldy-hnd-usd-IDTLsP3.html#3c9effc274,,,,
iPhone 6 gold 16 GB,Abbottabad,12:18 AM,http://olx.com.pk/item/iphone-6-gold-16-gb-IDTLsOf.html#3c9effc274,,,,
Want to sell my lg gpro.,Lahore,12:18 AM,http://olx.com.pk/item/want-to-sell-my-lg-gpro-IDSTdQb.html#3c9effc274,,,,
iPhone6 Gold 16gb,Hyderabad,12:18 AM,http://olx.com.pk/item/iphone6-gold-16gb-IDTLsNL.html#3c9effc274,,,,
iPhone 6s gold jv sim 16 gb just box opened,Lahore,12:18 AM,http://olx.com.pk/item/iphone-6s-gold-jv-sim-16-gb-just-box-opened-IDTLsMB.html#3c9effc274,,,,
Motorola ultra max xt1080 dual bettry,Karachi,12:16 AM,http://olx.com.pk/item/motorola-ultra-max-xt1080-dual-bettry-IDTLaSh.html#3c9effc274,,,,
Samsung F300 Li-Ion 720 mAh Battery Original Spare with Black Case,Rawalpindi,12:16 AM,http://olx.com.pk/item/samsung-f300-li-ion-720-mah-battery-original-spare-with-black-case-IDTKu0d.html#3c9effc274,,,,
Dany Genius Youth TAB M30,Karachi,12:16 AM,http://olx.com.pk/item/dany-genius-youth-tab-m30-IDTKu0l.html#3c9effc274,,,,
Samsung Galaxy S Advance,Peshawar,12:16 AM,http://olx.com.pk/item/samsung-galaxy-s-advance-IDTKu0X.html#3c9effc274,,,,
motorola droid razr xt912 good condition set,Karachi,12:16 AM,http://olx.com.pk/item/motorola-droid-razr-xt912-good-condition-set-IDTKu19.html#3c9effc274,,,,
Samsung Galaxy S Advance,Peshawar,12:16 AM,http://olx.com.pk/item/samsung-galaxy-s-advance-IDTKu37.html#3c9effc274,,,,
iphone 4s black anda condition,Faisalabad,12:16 AM,http://olx.com.pk/item/iphone-4s-black-anda-condition-IDTKu5d.html#3c9effc274,,,,
Apple iPhone 6 Plus (Gold)(Used) 128 GB,Karachi,12:16 AM,http://olx.com.pk/item/apple-iphone-6-plus-goldused-128-gb-IDTKu6T.html#3c9effc274,,,,
title,city,date,detailLink,,,,
Alcatel onetouch pop c7 in very good condition,Lahore,12:16 AM,http://olx.com.pk/item/alcatel-onetouch-pop-c7-in-very-good-condition-IDTKRuP.html#4df6382dc3,,,,
mobile A8 in scratchless condition,Kasur,12:16 AM,http://olx.com.pk/item/mobile-a8-in-scratchless-condition-IDTKRwL.html#4df6382dc3,,,,
Sumsung galaxy note 3. N900. 32 GB,Lahore,12:16 AM,http://olx.com.pk/item/sumsung-galaxy-note-3-n900-32-gb-IDTKRyb.html#4df6382dc3,,,,
nokia 220 with compelete box only 2.5 months used,Karachi,12:16 AM,http://olx.com.pk/item/nokia-220-with-compelete-box-only-2-5-months-used-IDTKRyw.html#4df6382dc3,,,,
Sky mobiles A800s,Lahore,12:16 AM,http://olx.com.pk/item/sky-mobiles-a800s-IDTKRzb.html#4df6382dc3,,,,
samsung galaxy s5 mini,Wah,12:16 AM,http://olx.com.pk/item/samsung-galaxy-s5-mini-IDTKRzr.html#4df6382dc3,,,,
Samsung glaxy GT 5830L,Sadiqabad,12:16 AM,http://olx.com.pk/item/samsung-glaxy-gt-5830l-IDTKRzz.html#4df6382dc3,,,,
qmobile a50 brand,Faisalabad,12:16 AM,http://olx.com.pk/item/qmobile-a50-brand-IDTKRBt.html#4df6382dc3,,,,
c3-00 set charger unsealed piece,Karachi,12:16 AM,http://olx.com.pk/item/c3-00-set-charger-unsealed-piece-IDTKRBP.html#4df6382dc3,,,,
Samsung glaxy Ace GT S 5830L,Sadiqabad,12:16 AM,http://olx.com.pk/item/samsung-glaxy-ace-gt-s-5830l-IDTKRCr.html#4df6382dc3,,,,
Q MOBILE q4 black colour,Rawalpindi,12:16 AM,http://olx.com.pk/item/q-mobile-q4-black-colour-IDTKRCF.html#4df6382dc3,,,,
Sony Xperia T lt30p,Multan,12:16 AM,http://olx.com.pk/item/sony-xperia-t-lt30p-IDTKRG3.html#4df6382dc3,,,,
Excellent condition,Karachi,12:16 AM,http://olx.com.pk/item/excellent-condition-IDTKRHD.html#4df6382dc3,,,,
iphone 5 mint condition,Lahore,12:16 AM,http://olx.com.pk/item/iphone-5-mint-condition-IDTKRI1.html#4df6382dc3,,,,
Samsung duos neo gt19069,Karachi,12:16 AM,http://olx.com.pk/item/samsung-duos-neo-gt19069-IDTKRIN.html#4df6382dc3,,,,
Samsung F300 Li-Ion 720 mAh Battery Original Spare with Black Case,Rawalpindi,12:16 AM,http://olx.com.pk/item/samsung-f300-li-ion-720-mah-battery-original-spare-with-black-case-IDTKu0d.html#4df6382dc3,,,,
